date,weekday,source_of_truth,gcatholic_celebration_name,romcal_celebration_name,validation_reason,review_notes
2023-01-03,Tuesday,Tuesday of Christmas Time before Epiphany,null,Most Holy Name Of Jesus,Source of truth: Tuesday of Christmas Time before Epiphany; GCatholic: missing; Romcal: Most Holy Name Of Jesus.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-04,Wednesday,Wednesday of Christmas Time before Epiphany,null,Christmas Time January 4,Source of truth: Wednesday of Christmas Time before Epiphany; GCatholic: missing; Romcal: Christmas Time January 4.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-05,Thursday,Thursday of Christmas Time before Epiphany,null,Christmas Time January 5,Source of truth: Thursday of Christmas Time before Epiphany; GCatholic: missing; Romcal: Christmas Time January 5.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-06,Friday,Friday of Christmas Time before Epiphany,null,Christmas Time January 6,Source of truth: Friday of Christmas Time before Epiphany; GCatholic: missing; Romcal: Christmas Time January 6.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-07,Saturday,Saturday of Christmas Time before Epiphany,null,Raymond Of Penyafort Priest,Source of truth: Saturday of Christmas Time before Epiphany; GCatholic: missing; Romcal: Raymond Of Penyafort Priest.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-10,Tuesday,Tuesday of the 1st Week in Ordinary Time,null,Tuesday After Epiphany,Source of truth: Tuesday of the 1st Week in Ordinary Time; GCatholic: missing; Romcal: Tuesday After Epiphany.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-13,Friday,Friday of the 1st Week in Ordinary Time,null,Hilary Of Poitiers Bishop,Source of truth: Friday of the 1st Week in Ordinary Time; GCatholic: missing; Romcal: Hilary Of Poitiers Bishop.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-15,Sunday,The Santo Niño (Holy Child Jesus),null,Ordinary Time 2 Sunday,Source of truth: The Santo Niño (Holy Child Jesus); GCatholic: missing; Romcal: Ordinary Time 2 Sunday.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-16,Monday,Monday of the 2nd Week in Ordinary Time,null,Ordinary Time 1 Monday,Source of truth: Monday of the 2nd Week in Ordinary Time; GCatholic: missing; Romcal: Ordinary Time 1 Monday.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-20,Friday,Friday of the 2nd Week in Ordinary Time,null,Fabian I Pope,Source of truth: Friday of the 2nd Week in Ordinary Time; GCatholic: missing; Romcal: Fabian I Pope.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-21,Saturday,"Saint Agnes, virgin and martyr",null,Agnes Of Rome Virgin,"Source of truth: Saint Agnes, virgin and martyr; GCatholic: missing; Romcal: Agnes Of Rome Virgin.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-22,Sunday,3rd Sunday in Ordinary Time,null,Sunday Of The Word Of God,Source of truth: 3rd Sunday in Ordinary Time; GCatholic: missing; Romcal: Sunday Of The Word Of God.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-23,Monday,Monday of the 3rd Week in Ordinary Time,null,Ordinary Time 2 Monday,Source of truth: Monday of the 3rd Week in Ordinary Time; GCatholic: missing; Romcal: Ordinary Time 2 Monday.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-26,Thursday,"Saints Timothy and Titus, bishops",null,Timothy Of Ephesus And Titus Of Crete Bishops,"Source of truth: Saints Timothy and Titus, bishops; GCatholic: missing; Romcal: Timothy Of Ephesus And Titus Of Crete Bishops.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-27,Friday,Friday of the 3rd Week in Ordinary Time,null,Angela Merici Virgin,Source of truth: Friday of the 3rd Week in Ordinary Time; GCatholic: missing; Romcal: Angela Merici Virgin.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-01-30,Monday,Monday of the 4th Week in Ordinary Time,null,Ordinary Time 3 Monday,Source of truth: Monday of the 4th Week in Ordinary Time; GCatholic: missing; Romcal: Ordinary Time 3 Monday.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-02-03,Friday,Friday of the 4th Week in Ordinary Time,null,Blaise Of Sebaste Bishop,Source of truth: Friday of the 4th Week in Ordinary Time; GCatholic: missing; Romcal: Blaise Of Sebaste Bishop.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-02-08,Wednesday,Wednesday of the 5th Week in Ordinary Time,null,Jerome Emiliani,Source of truth: Wednesday of the 5th Week in Ordinary Time; GCatholic: missing; Romcal: Jerome Emiliani.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-02-10,Friday,"Saint Scholastica, virgin",null,Scholastica Of Nursia Virgin,"Source of truth: Saint Scholastica, virgin; GCatholic: missing; Romcal: Scholastica Of Nursia Virgin.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-02-11,Saturday,Saturday of the 5th Week in Ordinary Time,null,Our Lady Of Lourdes,Source of truth: Saturday of the 5th Week in Ordinary Time; GCatholic: missing; Romcal: Our Lady Of Lourdes.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-02-13,Monday,Monday of the 6th Week in Ordinary Time,null,Ordinary Time 5 Monday,Source of truth: Monday of the 6th Week in Ordinary Time; GCatholic: missing; Romcal: Ordinary Time 5 Monday.,Source of truth did not match GCatholic or Romcal; needs human review.
